seller business name,business_country,email,phone_number
Business Name:VerticalExtreme GmbH,Germany,,30 30 909
Business Name:VF Logistik & Handelsagentur,Germany,,
,Other,,
"Business Name:vgo international trade co.,limited",Other,,2659674062874
Business Name:Viola Direkt GmbH,Germany,shop@violadirekt.eu,07841628433
Business Name:Vida GmbH,Germany,info@vida-home.deGesch,+49 (0) 56 55
Business Name:Gross- und Einzelhandel Robby Wanka,Germany,,
Business Name:Alexandra von der Lancken,Germany,info@viertreff.de,"31
 21224"
VAT Number:DE325588950,Other,info@viking-gear.de,"36
 59755"
Business Name:Vikon Deutschland GmbH,Germany,info@vikon-gmbh.de,293448136
Business Name:Vinfiz GmbH,Germany,info@vinfiz.de,815617262
Business Name:Vinsani Ltd,Other,,
,Other,,
Business Name:INDIANBEAUTIFULART,Other,,
Business Name:Royal Indian Vintage,Other,,
,Other,byToNi@web.de,01774214281
Business Name:VINTEAM ECOMMERCE LIMITED,Other,,
,Other,,
Business Name:Va Group S.r.l.,Other,,
Business Name:VISO TRADE s.r.o.,Other,,
Business Name:Sachsen Fahnen GmbH & Co. KG,Germany,,165 816 052
Business Name:JACOB STYLE SL,Other,,
Business Name:Terona B.V.,Other,,
Business Name:VitaBird UG (haftungsbeschränkt),Germany,,
Business Name:v03 trading GmbH,Germany,,
Business Name:Vitamed Matthias Quinger e.K.,Germany,service@vitamed-quinger.com,"2
  67122"
Business Name:Vitapur GmbH,Other,,
Business Name:Vitego GmbH,Germany,kundenservice@vitego-shop.deGesch,+493343940993
"Business Name:Piqueras inversiones, s.l.",Other,,
Business Name:X-TradeGroup GmbH,Germany,,
Business Name:Peter Alois Storkmann,Other,,
Business Name:VIVOL,Other,,
Business Name:Infinite Motion Magnetsysteme GmbH,Germany,info@infinitemotion.de,"45
 01129"
Business Name:VIZ-UK LIMITED,Other,viz-uk@hotmail.co.uk,00441903500283
Business Name:Re-In Retail International GmbH,Germany,info@voelkner.de,0911 32689888
Business Name:SaFa GmbH,Germany,safa@online.de,"16

22041"
Business Name:Vollwaren Handelsgesellschaft mbH,Germany,post@vollwaren.de,"26
 26835"
Business Name:VOLTEX S.N.,Other,,
Business Name:VOLTIAMO PAGINA DI RUSCINO EMANUELE,Other,,
"Business Name:Karl, Heiko und Volz, Torsten GbR",Germany,volz.karl@googlemail.com,07221 185 80 28
Business Name:Stolz GmbH,Germany,support@stolzgmbh.de,08191 4 28 83 25
Business Name:vomadi Groß&Internethandel UG (haftungsbeschränkt),Germany,vomadi@t-online.de,066486277445
Business Name:von Hermine,Germany,amazon@vonhermine.de,"16

29559"
Business Name:von Art SB bild & rahmen,Germany,,01607404398
Business Name:VDP vonderpalette GmbH,Germany,,+49 6324 810324
,Other,,
Business Name:NESTREND LIMITED,Other,,
Business Name:VOXTRADE GmbH,Germany,amazon@voxtrade.de,297548950
Business Name:VTN GmbH,Germany,support@VTN-GmbH.de,286593613
Business Name:Wagner Automaten,Germany,info@automatenwagner.de,07343 919260
Business Name:Wallario GmbH,Germany,amazon@posterdepot.de,"102
 03046"
Business Name:Friedrich Jaensch Inh Olaf Wallasch e.K.,Germany,,
Business Name:WALTER Werkzeuge Salzburg GmbH,Other,,06246-72091-0
Business Name:Wamat.de,Germany,office2@wamat.de,015110982540
Business Name:ABS Werbestudio,Germany,anfrage@abs-werbestudio.de,038120268880
Business Name:VIP Plaza Japan Inc,Other,,
"Business Name:Warenhandel Warmisried, Inh. Annett Hopf",Germany,warenhandel-warmisried@web.de,219731164
Business Name:Schulz - Für den Menschen & sein Haus!,Germany,info@warenhaus-schulz.de,0251 375300
Business Name:CULCHETH TRADING LTD,Other,,
VAT Number:GB179126290,Other,305574WARSTOREUK@SKY.COMVAT,01902 305574
Business Name:WASSER- und GARTENoase Handels eU,Other,,
Business Name:Winfried Janke,Germany,info@wasserflora.de,257470330
Business Name:Heike Weiss,Germany,,
Business Name:Anja Bourgeois,Germany,,
Business Name:Wasserpflanzen Wolff,Germany,wasserpflanzen@t-online.de,02423-408644
Business Name:WATTSTUNDE GmbH,Germany,amazon@wattstunde.de,+49 4131 400 00 39
Business Name:Comfort-Wasserbetten,Germany,07274-777379info@wasserbetten-factory.deDie,"6	

76726"
Business Name:WBP-Express GmbH,Germany,a.boche@wbp-express.dewww.wbp-shop.de,+49 3331 - 3010560
Business Name:GIGATT FOCUS INC,USA,wdpeactable@gmail.com,979-318-1428
Business Name:Wolfgang Schaffer,Germany,info@wdatecs.de,"11
 88416"
Business Name:tasko Products GmbH,Germany,amazon@welovebags.de,"8
 
 71522"
Business Name:printedguitarpicksltd,USA,,
VAT Number:GB201250871,Other,,
Business Name:webavita GmbH,Germany,amazon@webavita.de,319998883
Business Name:WEBBOMB GmbH,Germany,amazon.webbomb@msg.afterbuy.de,"14-16
66953"
Business Name:webkaufhaus24 UG haftungsbeschränkt,Germany,info@webkaufhaus24.de,09461912760
Business Name:Wedding Decor UK Ltd,Other,,
Business Name:SPECIAL TOUCHES LTD,Other,,
Business Name:Wedis Homeshop e.K.,Germany,info@wedis-homeshop.de,+49 40 60928787
VAT Number:DE316231090,Other,Timgrunert1@gmx.de,"37
 47495"
"Business Name:Schreibwaren Wegmann, Inh. Janos Metz e.K.",Germany,info@schreibwaren-wegmann.de,09922609490
Business Name:WEIBO Manufakturen GbR,Germany,weibo.manufakturen@gmail.com,+49(0)3643
Business Name:VOSS GmbH & Co. KG,Germany,shop@weidezaun.info,0484780680
Business Name:Weihnachtsbaumland,Germany,Esloheinfo@weihnachtsbaumland.deUmsatzsteuer,815557699
Business Name:Alexander Kuhnigk,Germany,,
Business Name:Asia Pacific Elite Ltd,Other,,
Business Name:WeiVa Handelsgesellschaft mbH,Germany,info@weiva.de,"7 
 
 84571"
Business Name:REHM Schweißtechnik GmbH,Germany,info@weldingtool.de,"66-68
 09120"
Business Name:Werkzeug-Direkt,Germany,amazon@werkzeug-direkt.com,04821-9576560
Business Name:ema Walter Kalberlah GmbH,Germany,amazon2015@werkzeugladen24.com,03471621561
Business Name:WAM Whirlpool + more GmbH,Germany,,
Business Name:Whoober B.V.,Other,,
Business Name:Far Out LLC,USA,,
Business Name:Wiemann Lehrmittel,Germany,,
Business Name:w-mtools-de,Germany,office@w-mtools.de,"19
 17291"
Business Name:Wohn-Idee24-cr UG,Germany,amazon@wohn-idee24.de,02431 9569550
Business Name:Wohnkult,Germany,info@wohnkult.net,"89
 84307"
Business Name:Wohnraum - Schenken und Einrichten,Germany,shop@wohnraum-berger.de,"35
 60316"
Business Name:Wolldiscount24 GmbH,Germany,info@wolldiscount24.com,328661580
Business Name:World Of Sparkles Limited,Other,,
Business Name:World Trading Net GmbH & Co. KG,Germany,info@highlight-led.de,"40
 99752"
VAT Number:DE226154635,Other,,
Business Name:wortek GmbH,Germany,info@wortek.de,+49 (0) 8191
Business Name:Stark Wassertechnik GmbH,Germany,info@wt-discount.de,5 - 04651
Business Name:SJ-Werbung,Germany,amazon@wtnord.de,04942203673
,Other,,
Business Name:HONG YU LAI INDUSTRY LIMITED,Other,,
Business Name:SOTTILE DIEGO SERGIO,Other,,
Business Name:X-Comics GmbH,Germany,amazon@x-comics.de,"12

  66740"
Business Name:Xelashop GmbH,Germany,support@xelashop.de,"25
 48268"
,Other,,
,Other,,
,Other,,
VAT Number:FR87883981201,Other,,
,Other,,
"Business Name:XINRO, Michael Rohwer",Germany,kundenservice@xinro.de,0228 - 28 62 99 80
,Other,,
,Other,,
Business Name:XODO STORE S.A.S DI XODO FEDERICO & C.,Other,,
Business Name:X-Parts GmbH,Germany,amazon@x-parts.de,"33
 71711"
,Other,,
Business Name:Xylabis UG haftungsbeschränkt,Germany,,0151 23758639
Business Name:TransPal GmbH,Germany,support@yovivo.de,"100
 13507"
Business Name:HR ARRON LTD,Other,,
"Business Name:Osman, Selver",Germany,info@kiosk-osman.de,258893433
Business Name:Zatu Limited,Other,,
Business Name:Gräfe Baugeschäft & Zaunhandel,Germany,graefebau@aol.comDie,
Business Name:Zaundirekt GmbH & Co. KG,Germany,info@zaundirekt.de,95 20 86 0
Business Name:zavatti srl,Other,,
Business Name:Ziegler Öhringen GmbH & Co. KG,Germany,shop@zbau24.de,07941 9115-0
Business Name:Z-Bombilla Spain SL,Other,,
Business Name:Zebra-Bau,Germany,verkauf@zebra-bau.deDie,060789675880
Business Name:NM-Wood Gmbh,Germany,info@nm-wood.de,320082981
Business Name:Dreamway Trading LLC,USA,,
Business Name:Andreas Burkart,Germany,service@zederle.de,
Business Name:MORALDI PAOLA,Other,,
Business Name:ZentimeX - Peter Laxy,Germany,amazon@ZentimeX.de,021733288944
Business Name:Zeottexx GmbH,Germany,verkauf@zeottexx.deInternet,232058259
,Other,,
,Other,,
Business Name:Hubert Schmalzbauer,Germany,zierfischtreff@aol.comUmsatzsteuer,181069578
,Other,,
Business Name:Holger Zimmermann,Germany,,"22

55595"
Business Name:Toni Zimmermann GmbH,Germany,info@tozi-spall.de,94 40 - 0
Business Name:Zisaline GmbH,Germany,info@zisaline.com,"10
 92637"
,Other,,
VAT Number:IT04679900755,Other,,
Business Name:Sven-Gunnar Zocholl,Germany,,
Business Name:GODEFROY JEROME,Other,,
Business Name:ZOLTA TRADE SP. Z O.O.,Other,,
Business Name:Zombolo GmbH,Germany,sales@zombolo.de,"+18
 29389"
Business Name:ZONA FOTO 2016 s.l.,Germany,,
,Other,,
Business Name:ExcaliNet GmbH,Germany,info@zoobamboo.de,04836 9967937
Business Name:Zoobi GmbH,Germany,info@zoobi-shop.de,"20

28307"
VAT Number:DE297910268,Other,info@zoo-bue-pet.de,06206 95 22 27
Business Name:Moritz-Consumer-Service,Germany,info@zooheld.de,"23
 06295"
Business Name:Zoolox UG (haftungsbeschränkt),Germany,,
"Business Name:Zoomeister, K. Hoffmeister",Germany,info@zoomeister.de,034296-741025
Business Name:Zoo-Papp UG,Germany,,
Business Name:Einzelhandel Roland Knebel,Germany,info@zooshop-online.com,"12
 02788"
Business Name:Matthias Löchelt Versandhandel,Germany,amazon@zoostore.de,"13
 59955"
Business Name:Daniels Zoo & Aquaristik UG (haftungsbeschränkt),Germany,amazon@zooweber.de,"10
 53489"
Business Name:Zoreno Versandhandel GmbH,Other,ade.support@zoreno.com,205.820.721
Business Name:ZORGTHUISWINKEL.NL,Other,,
,Other,,
Business Name:AD-ACCESS-Zündholz Riesa GmbH,Germany,,
VAT Number:DE815289413,Other,info@zurrosakuh.de,"29

48691"
Business Name:Reinhard Joormann -FansandTrends- e.K.,Germany,r.joormann@googlemail.com,55  46282
Business Name:Zwoofer.com,Other,,
,Other,,
